Name,Latitude,Longitude,Google_Maps_Link,Link_Type,City,Area,Category,Vehicle_Tag,Ownership,Access,Description
Statiq Charging Station (DLF Mall of India),28.569976,77.32207,https://www.google.com/maps/place/?q=place_id:ChIJyUNwtEjkDDkR-GwFfKnyoto,exact place,Noida,Sector 18,AC+DC Charging,4W,Private Network,Public (basement MLCP),Operator: Statiq | Confidence: High | Notes: Well managed; wifi unavailable in basement per review
GLIDA Charging Station,28.5675953,77.3213878,https://www.google.com/maps/place/?q=place_id:ChIJnxKjhkjkDDkR9eRsTvedfK0,exact place,Noida,Sector 18,AC+DC Charging,4W,Private Network,Public (11am-11pm),"Operator: GLIDA | Confidence: Medium | Notes: Review: non-EV vehicles occupy bay, 45min wait"
Tata Power Charging Station (Wave One),28.57052,77.324256,https://www.google.com/maps/place/?q=place_id:ChIJu-dr007kDDkRKL0Bsh27TcI,exact place,Noida,Sector 18,AC+DC Charging,4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: Review reports no charger present at pin
Hero Electric Charging Station,28.5734626,77.3244841,https://www.google.com/maps/place/?q=place_id:ChIJ43KcV07kDDkRyA31u8rvqn4,exact place,Noida,Sector 18 / Atta Market,AC Charging (2W),2W,OEM Network,Public,Operator: Hero Electric (OEM) | Confidence: High | Notes: 
E Fill Charging Station,28.5768448,77.3170954,https://www.google.com/maps/place/?q=place_id:ChIJSbLsPVvkDDkRURwVOQDTJYM,exact place,Noida,Sector 16,DC Fast Charging (app-free),4W,Private Network,Public (24/7),Operator: E-Fill | Confidence: Medium | Notes: 
Statiq Fast Charging Station (Savoy Suits),28.5801286,77.3154082,https://www.google.com/maps/place/?q=place_id:ChIJB7hZRO3lDDkRT3AEwtjPoN0,exact place,Noida,Sector 16,DC Fast Charging,4W,Private Network,"Public (hotel, contested)","Operator: Statiq | Confidence: High | Notes: Review: hotel allows non-EVs to occupy charging bays, caused vehicle damage"
Statiq Charging Station (Berger Tower),28.5745867,77.3135419,https://www.google.com/maps/place/?q=place_id:ChIJybCONZTlDDkRFBOl0xNd5BA,exact place,Noida,Sector 16B,DC Fast Charging,4W,Private Network,Public,Operator: Statiq | Confidence: High | Notes: Review: security/access process poorly managed
Statiq Charging Station (H8F6+QX5),28.5744,77.3125,https://www.google.com/maps/place/?q=place_id:ChIJXSZhKEPkDDkR5XyI7Z3A9s8,exact place,Noida,Sector 16B,DC Fast Charging,4W,Private Network,Public,Operator: Statiq | Confidence: Medium | Notes: 
Exicom Charging Station (Naya Bans),28.5826805,77.3128712,https://www.google.com/maps/place/?q=place_id:ChIJP7goCKjlDDkRb1bdvxjZpqI,exact place,Noida,Sector 15,AC+DC Charging,4W,Private Network,Public,Operator: Exicom | Confidence: Medium | Notes: 
Reliable Charge EV Charging Station,28.5854953,77.3138313,https://www.google.com/maps/place/?q=place_id:ChIJ-67F1BLlDDkRzivptjdHTuA,exact place,Noida,Sector 2,DC Fast Charging,4W,Private Network,Public,Operator: Reliable Charge | Confidence: High | Notes: 
Tata Power Charging Station (Hero showroom),28.5910699,77.3195872,https://www.google.com/maps/place/?q=place_id:ChIJ73xd2CTlDDkR0eGdyhR1nhs,exact place,Noida,Sector 5,AC+DC Charging,2W+4W,"Semi-Public (Utility Network, at OEM showroom)",Public,Operator: Tata Power | Confidence: High | Notes: Review confirms charging an Ather Rizta scooter here -- also serves 2W
GLIDA Charging Station (Taksal Rd),28.5901369,77.31471599999999,https://www.google.com/maps/place/?q=place_id:ChIJX-6CJvTkDDkR5me8upF6MaI,exact place,Noida,Sector 1,AC+DC Charging,4W,Private Network,Public,Operator: GLIDA | Confidence: Medium | Notes: 
Mercedes-Benz Charging Station,28.5957227,77.3304489,https://www.google.com/maps/place/?q=place_id:ChIJmUWBuf3kDDkROhaMKe87TBo,exact place,Noida,Sector 8,AC+DC Charging,4W only,OEM-Captive,Semi-Public,Operator: Mercedes-Benz (OEM) | Confidence: High | Notes: 
Okaya Charging Station,28.5773783,77.3608631,https://www.google.com/maps/place/?q=place_id:ChIJH-m9MmHlDDkR8RkRUCGd5LU,exact place,Noida,Sector 51,AC+DC Charging,Unconfirmed,Private Network,Public (reported non-functional),Operator: Okaya | Confidence: Medium | Notes: Multiple reviews: not functional for many months
